timestamp,open,high,low,close,adjusted_close,volume,forecast_high_5
1/18/2017,54.5,55.3,54.43,55.13,54.0377,6156343,57.7
1/17/2017,54.67,55.06,54.19,55.01,53.9201,7712635,56.79
1/13/2017,54.7,55.19,54.49,54.54,53.4594,5995616,55.2
1/12/2017,55.8,55.85,55.07,55.18,54.0868,5953573,56.84
1/11/2017,55.09,55.61,54.69,55.39,54.2926,9995110,55.4
1/10/2017,56.05,56.055,54.62,54.64,53.5575,9774121,55.3
1/9/2017,56.1,56.33,55.8099,56.07,54.9591,9080525,55.06
1/6/2017,56.23,56.98,55.91,56.66,55.5374,7899545,55.19
1/5/2017,56.19,56.88,56.04,56.21,55.0964,7083057,55.85
1/4/2017,55.61,56.15,55.491,55.89,54.7827,6265397,55.61
1/3/2017,54.96,56.33,54.95,55.68,54.5769,10531666,56.055
12/30/2016,54.03,54.36,53.61,54.09,53.0184,4655516,56.33
12/29/2016,54.14,54.46,53.84,54.04,52.9693,4237456,56.98
12/28/2016,55.11,55.22,54.18,54.3,53.2242,4956825,56.88
12/27/2016,55.02,55.54,54.7,54.91,53.8221,3609768,56.15
12/23/2016,55.04,55.26,54.63,54.84,53.7535,3168012,56.33
12/22/2016,54.63,55.42,54.63,55.07,53.9789,5370484,54.36
12/21/2016,53.76,55.28,53.35,54.96,53.8711,10087753,54.46
12/20/2016,54.15,54.25,53.115,53.33,52.2734,8164332,55.22
12/19/2016,53.61,54.0347,53.43,53.72,52.6557,5563563,55.54
12/16/2016,54.23,54.28,53.745,53.99,52.9203,12707817,55.26
12/15/2016,53.51,54.015,53.13,53.79,52.7243,8359337,55.42
12/14/2016,54.23,54.56,53.41,53.51,52.4498,9067288,55.28
12/13/2016,54.59,55.56,54.265,54.9,53.8123,8600737,54.25
12/12/2016,55.05,56.08,54.355,54.49,53.4104,10575087,54.0347
12/9/2016,54.5,54.51,53.77,54.2,53.1262,6003054,54.28
12/8/2016,53.76,54.49,53.33,54.43,53.3516,9037256,54.015
12/7/2016,54.02,54.5,52.89,53.54,52.4792,8987054,54.56
12/6/2016,53.25,54.27,52.91,54.02,52.9497,9056078,55.56
12/5/2016,54.38,54.74,53.72,53.9,52.8321,9235259,56.08
12/2/2016,53.25,54.52,53.11,54.17,52.92,7174424,54.51
12/1/2016,54.08,54.8,53.19,53.24,52.0115,11775228,54.49
11/30/2016,51.68,54.92,50.82,53.09,51.865,32231701,54.5
11/29/2016,47.79,48.49,47.0558,47.79,46.6873,12331942,54.27
11/28/2016,49.64,49.73,48.68,48.8,47.674,6968496,54.74
11/25/2016,49.27,49.52,48.905,49.51,48.3676,2736261,54.52
11/23/2016,49.42,50.01,49.35,49.47,48.3285,3987383,54.8
11/22/2016,50.43,50.49,49.07,49.84,48.69,7699549,54.92
11/21/2016,50.04,50.45,49.71,50.1,48.944,8011232,48.49
11/18/2016,48.86,49.49,48.76,49.31,48.1722,6662999,49.73
11/17/2016,49.38,49.78,48.22,48.6,47.4786,7953580,49.52
11/16/2016,49.33,49.69,48.58,48.76,47.6349,7823145,50.01
11/15/2016,48.52,49.895,48.5,49.76,48.6118,11770261,50.49
11/14/2016,47.61,48.54,47.34,48.14,47.0292,8395484,50.45
11/11/2016,48.35,48.61,47.21,48.01,46.9022,7635120,49.49
11/10/2016,47.69,48.99,47.57,48.81,47.6837,11519965,49.78
11/9/2016,47.46,48.245,47.12,47.82,46.7166,12189753,49.69
11/8/2016,47.08,47.695,46.91,47.12,46.0327,5320270,49.895
11/7/2016,46.81,47.46,46.81,47.44,46.3453,5504441,48.54
11/4/2016,46.46,46.84,45.75,46.38,45.3098,7031629,48.61
11/3/2016,45.94,46.61,45.84,46.58,45.5052,7366841,48.99
11/2/2016,45.51,46.215,45.08,45.93,44.8702,8143091,48.245
11/1/2016,46.37,46.6754,45.36,46.23,45.1633,6869875,47.695
10/31/2016,46.42,46.68,45.905,46,44.9386,7930265,47.46
10/28/2016,47.6,47.8,46.06,46.58,45.5052,10410793,46.84
10/27/2016,47.9,48.25,47.5,47.55,46.4528,6001169,46.61
10/26/2016,47.21,48.5,46.85,47.62,46.5212,8614554,46.215
10/25/2016,48.22,48.84,47.565,47.77,46.6677,7760241,46.6754
10/24/2016,48.54,48.69,47.76,48.24,47.1269,7399113,46.68
10/21/2016,48.36,48.78,48.09,48.43,47.3125,6651482,47.8
10/20/2016,48.89,49.51,48.43,48.75,47.6251,8611046,48.25
10/19/2016,47.7,50.23,47.7,49.07,47.9377,19236464,48.5
10/18/2016,46.97,47.28,46.3,47.07,45.9839,9834054,48.84
10/17/2016,46.95,47.35,45.981,46.32,45.2512,8169273,48.69
10/14/2016,47.46,47.83,46.84,46.97,45.8862,7353354,48.78
10/13/2016,46.38,47.96,46.12,47.02,45.935,7327918,49.51
10/12/2016,46.64,47.18,46.25,46.96,45.8764,7565457,50.23
10/11/2016,46.91,47.17,46.29,46.64,45.5638,9503979,47.28
10/10/2016,46.79,47.64,46.76,47.26,46.1695,8799420,47.35
10/7/2016,46.38,46.85,45.981,46.26,45.1926,7014466,47.83
10/6/2016,46.04,46.4,45.55,46.37,45.3,7624049,47.96
10/5/2016,45.2,46.07,44.94,45.72,44.665,7529489,47.18
10/4/2016,44.91,45,44.23,44.59,43.5611,5035852,47.17
10/3/2016,45.11,45.19,44.54,44.9,43.8639,6221416,47.64
9/30/2016,44.54,45.08,44.07,44.88,43.8444,9188521,46.85
9/29/2016,42.89,44.725,42.89,44.18,43.1606,15139033,46.4
9/28/2016,41.11,42.96,40.45,42.79,41.8026,12507080,46.07
9/27/2016,40.92,41.085,40.12,40.95,40.0051,11842888,45
9/26/2016,41.98,42.31,41.18,41.38,40.4252,9322195,45.19
9/23/2016,42.29,43.04,41.67,41.84,40.8746,7191648,45.08
9/22/2016,43.25,43.63,42.6,42.65,41.6659,5925296,44.725
9/21/2016,41.67,42.84,41.605,42.72,41.7342,7610232,42.96
9/20/2016,41.31,41.63,41.01,41.26,40.3079,7771268,41.085
9/19/2016,41.46,41.855,41.27,41.28,40.3275,6835278,42.31
9/16/2016,40.77,41.349,40.745,41.04,40.093,9673245,43.04
9/15/2016,41.39,42.12,41.21,41.77,40.8062,6862551,43.63
9/14/2016,40.85,41.73,40.63,41.26,40.3079,8061051,42.84
